fecha,min,media,max
2026-08-01,0.29,111.68,198.69
2026-08-02,-0.30,106.20,210.30
2026-08-03,75.00,151.87,222.69
2026-08-04,69.00,146.37,212.52
2026-08-05,4.00,118.92,199.47
2026-08-06,1.50,109.51,209.61
2026-08-07,5.00,119.03,220.00
2026-08-08,0.00,108.61,191.01
2026-08-09,-0.11,94.39,175.73
2026-08-10,21.00,126.76,233.76
2026-08-11,12.14,128.85,235.51
2026-08-12,12.00,135.31,250.00
2026-08-13,21.00,138.90,268.97
2026-08-14,30.00,140.09,252.50
2026-08-15,0.51,116.51,209.95
2026-08-16,0.00,116.02,215.04
2026-08-17,39.10,157.35,240.00
